

:Start
1, assassins' guilds: AGENTS OF DEATH AND POISON (PAGE TWO)
_<br>
_Symbol: The guild's symbol is [[Symbol The guilds symbol is]]<br>
_Methods: The guild's preferred method of execution is [[Methods The guilds preferred method of execution is]]<br>
_Weapons: Guildmembers typically arm themselves with [[Weapons Guildmembers typically arm themselves with]]<br>
_Headquarters: The guild's headquarters is hidden in or near [[Headquarters The guilds headquarters is hidden in or near]]<br>
_Timing: Guildmembers typically plan their attacks for [[Timing Guildmembers typically plan their attacks for]]<br>
_Guildmembers typically strike with [[Guildmembers typically strike with]]<br>
_Organization: Guildmembers typically know [[Organization Guildmembers typically know]]<br>
_Style: Guildmembers typically operate [[Style Guildmembers typically operate]]<br>
_Leader: The guild's leader is [[Leader The guilds leader is]]<br>
_Goals: The guild's goals include (leadership and rank-and-file members could have different goals) [[Goals The guilds goals include leadership and rank-and-file members could have different goals]]<br>
_Restrictions: The guild refuses to take contracts to kill [[Restrictions The guild refuses to take contracts to kill]]<br>
_Reputation: The guild is feared or respected by [[Reputation The guild is feared or respected by]]<br>
_Trait: The assassin has [[Trait The assassin has]]<br>
_Apparel: The assassin is wearing [[Apparel The assassin is wearing]]<br>
_Weapon: The assassin carries [[Weapon The assassin carries]]<br>
_Goal: The assassin is looking for [[Goal The assassin is looking for]]<br>
_<br>
_Background: The assassin is [[Background The assassin is]]<br>
_Trait: The assassin has [[Trait The assassin has]]<br>
_Apparel: The assassin wears [[Apparel The assassin wears]]<br>
_Goal: The assassin is looking for [[Goal The assassin is looking for]]<br>
_Weapon: The assassin wields [[Weapon The assassin wields]]<br>
_Possession: The assassin also carries [[Possession The assassin also carries]]<br>
_Work Style: The assassin prefers to operate [[Work Style The assassin prefers to operate]]<br>
_Rumored Hit: Recently, the assassin is rumored to have notched a kill in or near a/an/the [[Rumored Hit Recently the assassin is rumored to have notched a kill in or near aoranorthe]]<br>
_Rumored Mark: The assassin is rumored to have killed a/an/the [[Rumored Mark The assassin is rumored to have killed aoranorthe]]<br>
_Effect: The poison will cause or induce [[Effect The poison will cause or induce]]<br>
_Consistency: The poison is [[Consistency The poison is]]<br>
_Color: The poison is [[Color The poison is]]<br>
_The main ingredient is harvested from [[The main ingredient is harvested from]]<br>
_The poison is prepared by [[The poison is prepared by]]<br>
_The poison is most effective when [[The poison is most effective when]]<br>
_The antidote to the poison is [[The antidote to the poison is]]<br>


:Symbol The guilds symbol is
1, A skull.
2, A bat.
3, An eye.
4, A crow.
5, A flame.
6, A fish.
7, A dagger.
8, A scorpion.
9, A scythe.
10, A spider.
11, An arrow.
12, A snake.


:Methods The guilds preferred method of execution is
1, Ingested poison or allergic reaction.
2, Exposure to deadly (but not highly contagious) disease.
3, Contact poison applied to a weapon.
4, Arrow/bolt from range.
5, Knife in the chest or back.
6, Multiple stab wounds.
7, Slitting throats.
8, Gutting or eviscerating.
9, Flaying.
10, Beheading.
11, Strangulation.
12, Hanging.
13, Burying alive.
14, Drowning.
15, Boiling alive.
16, Throwing off a roof.
17, Acid (pouring or submersion).
18, Fiery explosion.
19, Burning alive.
20, Feeding to animals.


:Weapons Guildmembers typically arm themselves with
1, Poisoned daggers and shortswords.
2, Throwing knives.
3, Over-sized daggers.
4, Serrated daggers.
5, Daggers and crossbows.
6, Axes and knives.
7, Bows and arrows.
8, Shortswords and crossbows.
9, Sickles and scythes.
10, Garrotes and daggers.
11, Exotic blades and blowguns.
12, Bolas and poisoned projectiles.


:Headquarters The guilds headquarters is hidden in or near
1, The residence of the leader or a senior guildmember.
2, An artisan's shop or guildhall.
3, A merchant's office.
4, A tavern.
5, A brothel.
6, A warehouse or shipyard.
7, A temple complex.
8, The city's sewers.
9, The town hall.
10, An abandoned guildhall or warehouse.
11, An armory or barracks.
12, The residence of a wealthy individual or prominent citizen.


:Timing Guildmembers typically plan their attacks for
1, At sunrise.
2, High noon.
3, At sunset.
4, After dark.
5, At midnight.
6, After midnight.
7, In the wee hours.
8, Before sunrise.


:Guildmembers typically strike with
1, Hit-and-run tactics.
2, Ambush tactics.
3, Diversionary tactics.
4, A precisely planned attack strategy.
5, A well-planned escape strategy.
6, The element of surprise.
7, Announcing their presence.
8, No thought of escape.


:Organization Guildmembers typically know
1, Very few other guildmembers.
2, Several other guildmembers.
3, The details of the guild's organization.
4, Nothing about the guild's leadership.
5, The names of the guild's leaders, though they've never met any of them.
6, One of the guild's leading members and no other guildmembers.


:Style Guildmembers typically operate
1, Alone.
2, In pairs.
3, In small groups.
4, By infiltrating an organization.
5, By impersonating a specific individual.
6, In plain sight.


:Leader The guilds leader is
1, A dangerous megalomaniac.
2, A charismatic demagogue.
3, A mysterious foreigner.
4, A talented thief.
5, A well-known public figure.
6, A ruthless killer.
7, A femme fatale.
8, A charming rogue.
9, A dashing swashbuckler.
10, A brutish thug.
11, A religious fanatic.
12, A veteran soldier.


:Goals The guilds goals include leadership and rank-and-file members could have different goals
1, Expanding the client base.
2, Corrupting and influencing the politics of the city or region.
3, Eliminating a rival assassins' guild in the same city or region.
4, Eliminating a rival assassins' guild in a foreign city or region.
5, Intimidating the masses.
6, Instigating rebellion among the masses.


:Restrictions The guild refuses to take contracts to kill
1, Women.
2, Young children.
3, Nobles and prominent citizens.
4, Priests and monks.
5, Peasants and poor folk.
6, Foreigners and travelers.
7, Members of the client's family.
8, Fellow criminals.


:Reputation The guild is feared or respected by
1, Fishermen and sailors.
2, Beggars and orphans.
3, Merchants and moneychangers.
4, Nobles and rulers.
5, Politicians and magistrates.
6, Guards and sheriffs.
7, Soldiers and warriors.
8, Thieves and criminals.
9, Servants and slaves.
10, Priests and sages.
11, Women and children.
12, Other assassins.


:Trait The assassin has
1, A scar on the forearm.
2, A scar on the face.
3, A high-pitched laugh.
4, A long, hooked nose.
5, A dangerous look in the eye.
6, A cheerful smile.
7, A cold stare.
8, An agile step.
9, A low-cut shirt.
10, A bent, broken nose.
11, A cute little button nose.
12, A scar below the left eye.
13, Pockmarked cheeks.
14, High cheek bones.
15, A pointy chin.
16, A thug's tattoo  [[A thugs tattoo]]
17, A sailor's tattoo  [[A sailors tattoo]]
18, An open shirt and a very hairy chest.
19, A five o'clock shadow.
20, A neatly trimmed mustache.


:Apparel The assassin is wearing
1, Shiny leather boots.
2, A wide-brimmed hat.
