

:Start
1, caverns: INTO THE DARK...
_<br>
_Entrance: The cave mouth is [[Entrance The cave mouth is]]<br>
_Distinguishing Landmark: You see [[Distinguishing Landmark You see]]<br>
_Features: You notice [[Features You notice]]<br>
_Ecology: The creature is [[Ecology The creature is]]<br>
_Hazards/Obstacles: You find [[HazardsorObstacles You find]]<br>
_Walls: The cave wall is [[Walls The cave wall is]]<br>
_Ceiling: The cave ceiling is [[Ceiling The cave ceiling is]]<br>
_Travelers/Visitors: You come upon [[TravelersorVisitors You come upon]]<br>
_Background: The dark elf is [[Background The dark elf is]]<br>
_Goal: The dark elf is looking to [[Goal The dark elf is looking to]]<br>
_Possession: The dark elf carries [[Possession The dark elf carries]]<br>


:Entrance The cave mouth is
1, Wide and tall, letting much daylight into the entry chamber.
2, A wide sinkhole.
3, An easy to spot, narrow passage.
4, A steep, slippery sloped tunnel.
5, A man-made tunnel.
6, A collapsed tunnel, impassable without excavation.
7, Marked with several warning signs.
8, Hidden by the terrain  [[Hidden by the terrain]]
9, Hidden by vegetation [[Hidden by vegetation]]
10, Difficult to access  [[Difficult to access]]


:Hidden by the terrain 
2, boulders;
4, waterfall
5, rocky overhang;
6, hillock.


:Hidden by vegetation
1, a briar patch;
2, a curtain of moss;
4, enormous tree roots
6, overgrown vines.


:Difficult to access 
2, up or down a cliff face
3, down a deep hole
5, in an underwater tunnel
6, through an illusory rock or wall.


:Distinguishing Landmark You see
1, A trickle of water flowing down the walls and across the floor.
2, An underground lake of potable water.
3, A pool of stagnant water.
4, A natural bridge over a chasm.
5, A narrow chasm with walls close enough to climb between.
6, A deep chasm with no bottom in sight.
7, A shaft in the ceiling with no light coming from it.
8, A shaft in the ceiling with dim light coming from it.
9, A group of stalagmites arranged in a circle.
10, An arrangement of two large stalactites and two large stalagmites, reminiscent of fangs in a yawning mouth.
11, A pair of natural columns.
12, A large stalactite that has broken off from the ceiling and fallen to the floor.
13, An array of many small stalactites spreading across the ceiling.
14, A damp wall covered in soft mold.
15, A recess in the wall, covered in slimy mold.
16, A large patch of glowing fungus.
17, A large patch of small mushrooms.
18, A group of enormous mushrooms.
19, A large cavern with a strong echo.
20, A claustrophobic tunnel with a low ceiling.


:Features You notice
1, A cache of abandoned, decrepit mining equipment.
2, Bullywugs.
3, Many bones underfoot.
4, Corpse creeper.
5, An enormous spider web.
6, Chuul.
7, The clatter of rocks falling.
8, Cloaker.
9, An unstable ceiling.
10, Crawling claw.
11, The name of a previous traveler carved into or written on a wall.
12, Cyclops.
14, Darkmantle.
16, Shadow dragon.
18, Drider.
20, Deep dwarves.
22, Dark elves.
24, Ettin.
26, Fomorian.
28, Fungi.
