

:Start


:Geography, The city grew up around
1, A coastal harbor.
2, A calm, coastal bay.
3, A large freshwater lake.
4, A wide, navigable river.
5, A river navigable by small craft.
6, The mouth of a river or a river delta.
7, The confluence of two rivers.
8, A series of natural springs.
9, A well-traveled crossroads.
10, A water source and a well-traveled road.


:Defenses, The city is defended by
1, A disciplined military guard.
2, A standing army of devoted soldiers.
3, A company of sellswords and knaves.
4, An order of holy knights.
5, Little; the city's been sacked many times.
6, A huge, fortress or citadel within the city.
7, Watchtowers spread throughout the lands.
8, Thick stone walls and impenetrable gates.
9, High stone walls, catapults, and scorpions.
10, A powerful magical ward or gigantic golem.


:District, This part of the city is the
1, Slums.
2, Residential, poor.
3, Res., middle class.
4, Res., upper class.
5, Palace district.
6, Temple district.
7, Crafting district.
8, Docks district.
9, Riverfront district.
10, Harbor district.
11, University district.
12, Military district.
13, Market district.
14, Garden district.
15, Monument district.
16, Necropolis.
17, Theater district.
18, Civic center.
19, Ethnic enclave.
20, Foreign enclave.


:Resources, The city is near a region ideal for mining, growing, or grazing
1, Iron ore.
2, Copper ore.
3, Gold or silver deposits.
4, Clay or granite deposits.
5, Quartz or salt deposits.
6, Peat or coal deposits.
8, Barley and oats.
9, Beans and corn.
10, Nuts and olives.
11, Rice or wheat.
12, Potatoes.
13, Sugar cane.
14, Tobacco.
15, Cotton.
16, Fruit trees.
17, Cabbages.
18, Cattle.
19, Dairy cows.
20, Sheep.


:Law Enforcement, The laws are
1, Enforced by a strict, orderly city watch.
2, Enforced by a corrupt, roguish city watch.
3, Not enforced among the wealthy elite.
4, Not enforced for those who pay bribes.
5, More like guidelines.
6, Enforced in a haphazard fashion, incomprehensible to visitors.
7, Enforced by a secret society of assassins, mages, or priests.
8, Enforced by a company of mercenaries.
9, Simple, easy to learn and to follow.
10, Extensive and complicated, nonsensical.
11, Enforced by a cheerful drunken sheriff.
12, Enforced by a rigid soldier-turned-sheriff.


:Streets, The locals call this street
1, Cedar Street
2, Cherry Street;
3, Maple Street
4, Oak Street
5, Pine Street
6, Willow Street.
7,   [5]
9,   [6]
10,   [7]
11,   [8]
12,   [9]
13,   [10]
14,   [11]
15,   [12]
16,   [13]
17,   [14]
18,   [15]
19,   [16]
20,   [17]


: 
1, Armory Street
2, Barricade Street
3, Knight Street
4, Pike Street
5, Shield Street
6, Spear Street.


:  0
1, Arch Street
2, Bridge Street.
3, Canal Street
4, Cross Street
5, Falls Road
6, River Street.


:  1
1, Castle Street
2, Inn Street;
3, Rock Way
4, House Street
5, Hovel St.
6, Tower Street.


:  2
1, Cattle Road
2, Common Street;
3, Green Street
4, Greenway Street;
5, Meadow Lane
6, Orchard Street.


:  3
1, Cooper Street
2, Mason Street;
3, Smith Street
4, Tailor Street
5, Stone Street
6, Weaver Street.


:  4
1, Bluff Street
2, Crestline Way;
3, High Street
4, Highland Way
5, Hilltop Lane
6, Ridge Street.


:  5
1, Devil's Alley
2, Magpie Lane;
3, Paupers Street
4, Penny Lane
5, Rat's Alley
6, Serpent's Alley.
8, Market Street.


:  6
1, Baker Street
2, Hook Street;
3, Farm Road
4, Feather Street
5, Mill Street
