

:Start
1, cults: BOW DOWN TO THE LORD OF WHAT?
_<br>
_Reverence: The cultists revere [[Reverence The cultists revere]]<br>
_Shrine: The cultists meet in [[Shrine The cultists meet in]]<br>
_Leader: The cult's leader is [[Leader The cults leader is]]<br>
_Members: The cult's membership is primarily made up of [[Members The cults membership is primarily made up of]]<br>
_Rituals: The cult's practices involve (leadership and believers could adhere to different practices) [[Rituals The cults practices involve leadership and believers could adhere to different practices]]<br>
_Goals: The cult's goals (leadership and believers could have different goals) [[Goals The cults goals leadership and believers could have different goals]]<br>
_Rules: The cult's members must follow a strict rule regarding [[Rules The cults members must follow a strict rule regarding]]<br>
_Taboos: The cult's members are fearful of or take special care to avoid [[Taboos The cults members are fearful of or take special care to avoid]]<br>
_Morale: The cult's attitude toward their leader is [[Morale The cults attitude toward their leader is]]<br>
_Zealotry: The cultist [[Zealotry The cultist]]<br>
_Trait: The cultist has [[Trait The cultist has]]<br>
_Apparel: The cultist is wearing [[Apparel The cultist is wearing]]<br>
_Mannerism: The cultist is [[Mannerism The cultist is]]<br>
_Possession: The cultist carries [[Possession The cultist carries]]<br>
_Goal: The cultist is looking for [[Goal The cultist is looking for]]<br>
_Connections: The cultist's family and close friends know [[Connections The cultists family and close friends know]]<br>


:Reverence The cultists revere
1, A dragon.
2, A demon lord.
3, An archdevil.
4, A long-dead ancient hero  [[A long-dead ancient hero]]
5, A long-dead ancient villain  [[A long-dead ancient villain]]
6, A dead god or undead being.
7, An aberrant creature  [[An aberrant creature]]
8, An elemental creature.
9, A primordial or titan.
10, Primal spirits or an archfey.
11, An exarch of a god.
12, The cult's own mortal leader.


:A long-dead ancient hero 
1, bard;
2, beastmaster
3, elf-maid or prince;
4, knight or crusader
5, hunter
6, prophet.


:A long-dead ancient villain 
1, giant;
2, necromancer
3, vampire or lich;
4, warlord
5, werewolf or wererat
6, witch.


:An aberrant creature 
1, brain eater;
2, cosmic horror
3, eye beast
4, eyeless fish thing
5, gibbering maw
6, star spawn.


:Shrine The cultists meet in
1, A secret chamber in a well-known temple.
2, The cellar of a popular tavern.
3, A secret chamber in a large guildhall.
4, The cellar of a wealthy merchant's house.
5, The city sewers.
6, Ancient catacombs beneath the city.
7, A cabin in the countryside.
8, A creepy, dark cave.
9, A heavily guarded chamber within a castle.
10, The stacks of a well-stocked library.


:Leader The cults leader is
1, A devoted acolyte.
2, A dogmatic teacher.
3, An adept healer.
4, A charismatic preacher.
5, An eccentric scholar.
6, An outspoken zealot.
7, A dangerous megalomaniac.
8, A charismatic demagogue.
9, A mysterious foreigner.
10, A well-known public figure.
11, A ruthless killer.
12, A femme fatale.
13, A charming rogue.
14, A powerful noble.
15, A talented artist.
16, A religious fanatic.
17, A veteran soldier.
18, A humble artisan.
19, An ancient hero reborn.
20, The second coming of a god.


:Members The cults membership is primarily made up of
1, The poor and downtrodden  [[The poor and downtrodden]]
