

:Start
1, merchant caravans: OVERLAND SHIPPING


:Transport Method, The caravan is
1, A wagon train.
2, A long train of pack animals.
3, A train of pack animals with a few carts.
4, A train of pack animals with a few wagons.
5, A train of pack animals and livestock.
6, Traveling on foot with a few pack animals.


:Pack Animals, The caravan's pack animals are
1, One-humped camels.
2, Two-humped camels.
3, Large draft horses.
4, Reliable garrons.
5, Sure-footed ponies.
6, Mules.
7, Oxen.
8, Exotic beasts  [Exotic beasts]


:Exotic beasts 
1, bison
2, drakes;
3, elephants
4, elk
5, giant lizards;
6, zebras.


:Commodities, The caravan is transporting
1, Cloth  [Cloth]
2, Drugs or contraband.
3, Gems  [Gems]
4, Metals  [Metals]
5, Spices and teas.
6, Wine and spirits.


:Cloth 
1, cotton
2, linen
3, silk;
4, wool.


:Gems 
1, diamond
2, ruby;
3, jade
4, obsidian
5, opal
6, pearl;
8, sapphire
9, topaz
10, turquoise.


:Metals 
1, arsenic
2, copper
3, gold;
4, lead
5, silver
6, tin.


:Morale, The caravan's mood is
1, Desperate; a calamity has befallen them.
3, Foul; morale is bad, provisions are low.
5, Tired; the journey is long and longer yet.
6, Eager; great riches await at journey's end.


:Background, The captain is
1, A mysterious foreigner.
2, A career soldier.
3, An outcast from a prominent family.
4, A celebrated explorer.
5, A femme fatale.
6, A charming rogue.
7, A dashing swashbuckler.
8, A brutish thug.


:Goal, The captain is looking for
1, Information regarding the route ahead.
2, The location of an ancient ruin.
3, Extra muscle for the journey.
4, News from the origin or destination.
5, Revenge against a bitter rival.
6, Ways to cheat the caravan's owner.
7, Ways to speed up the caravan's pace.
8, Drinking companions and storytellers.


:Concern, The captain wants to avoid
1, Ruins and curses.
2, Barbarians.
3, Bandits.
4, Other caravans.
5, Thieves.
6, Wild beasts.


:Possession, The captain carries
1, A superbly crafted sword.
2, Several daggers and a purse of gold.
3, A trusted blade and a map.
4, A lucky charm (rabbit's foot, old coin).
5, The token of a faraway love.
6, Extravagant jewels and silks.
7, Keys of many shapes and sizes.
8, A little jar of mustache wax.


:Background, The guide is
2, A nomadic herder.
3, A strange hermit.
5, A skilled hunter.
6, A savage warrior.


:Trait, The animal handler has
1, An awkward gait.
2, Incredibly large hands.
3, Holes in the breeches.
4, Quite an odor.
5, A threadbare shirt.
6, A ragged beard.


:Goal, The animal handler wants to
2, Earn a little silver.
4, Go back home.
5, Survive the journey.
6, Have a drink and a rest.


:Possession, The animal handler carries
1, A memento from a loved one.
2, Several morsels of animal feed.
3, Several morsels of food.
4, A few copper pieces.
5, A waterskin.
6, A wineskin.


:Greeting, The cook greets you with
1, A goblet of warm wine.
3, A glass of water.
4, A cup of cold porridge.
6, A hearty handshake.


:Goal, The cook is looking for
1, Someone more important to talk to.
2, Some better ingredients.
4, A good joke or story.
6, The bottom of a bottle.


:Possession, The cook carries
1, A filthy rag.
2, A large wooden spoon.
3, A grease-smeared apron.
4, An unusual belt purse.
5, A pouch full of spices.
6, A bottle of whisky.


:Background, The guard is
1, The son of a miner or fisherman.
2, A veteran of warfare.
3, The son of a poor man.
4, A drunk.
5, A thug.
6, A favorite among the ladies.


:Goal, The guard works for
2, The steady pay.
3, A chance to dole out pain.
5, Gold to repay debts.
6, Gold to aid a family member.


:Trait or Possession, The guard has
1, A token from a favorite harlot.
2, A silk handkerchief.
3, A flask of wine.
4, A pair of dice or a deck of cards.
5, A blade with an inscription.
6, A highly polished blade.


:Goal, The guide is looking to
2, Help the caravan in any way he/she can.
3, Lead the caravan astray.
5, Fill his purse with gold.
6, Eat, drink, and be merry.


:Possession, The guide carries
1, An unusual map.
2, A unique trinket or piece of jewelry.
4, A spear or walking staff.
6, A large knife and some rope.


:Background, The merchant is
1, A member of a trading clan.
2, A minor lord or lady.
3, An enterprising trader.
4, A member of a prominent family.
5, Of common birth.
6, The real owner's representative.


:Goal, The merchant seeks someone to
1, Obtain a mysterious artifact.
2, Negotiate a trade contract.
3, Purchase goods.
4, Sabotage a rival merchant.
5, Secure a marriage.
6, Have a good time with.


:Possession, The merchant carries
1, A family heirloom.
3, Several inventories and invoices.
5, Some very valuable jewels.
6, A compromising love letter.


:Possession, The merchant will trade in
2, Coins and gems.
4, Gold and silver bullion.
5, Water, provisions, and other goods.
6, Shells, beads, and trinkets.


:Background, The traveler is
1, An exile.
2, A minstrel.
3, A pilgrim.
4, A sellsword.
5, A storyteller.
6, A treasure hunter.


:Long-Term Goal, The traveler is searching for
1, The answer to a riddle
2, A long lost friend.
3, The return of something stolen.
4, Revenge against a bitter rival.
5, New adventures.
6, Steady work.


:Immediate Goal, Tonight, the traveler is looking for
2, Accomplices on a quest.
3, An audience to entertain.
4, Someone to hear a sad tale.
6, Drinking companions.

