

:Start
1, mines: WE DIG, DIG, DIG


:The miners are hauling out
1, Chalk.
2, Coal.
3, Copper.
4, Gold.
5, Iron.
6, Lead
7, Lead.
8, Nickel.
9, Platinum.
10, Salt.
11, Silver.
12, Zinc.
13, Diamonds.
14, Emeralds.
15, Jade.
16, Rubies.
17, Sapphires.
18, Turquoise.
19, Other gems  [Other gems]
20, An especially rare metal  [An especially rare metal]


:Other gems 
1, amethyst
2, aquamarine
3, garnet
4, opal
5, peridot;
6, tanzanite
7, topaz,
8, zirconium.


:An especially rare metal 
2, adamantine
4, mithral
6, orium.


:Entrance, The mine's entrance is
1, Up a winding trail from a camp or village.
2, Up a steep trail from a camp or village.
3, A wide, natural cave mouth.
4, A wide open pit.
5, An easy to spot, narrow passage.
6, A steep, slippery sloped tunnel.
7, A tunnel reinforced with wood beams.
8, A partially collapsed tunnel, impassable without excavation.
9, Marked with several signs.
10, Hidden by the terrain  [Hidden by the terrain]
11, Hidden by vegetation  [Hidden by vegetation]
12, Difficult to access  [Difficult to access]


:Hidden by the terrain 
2, boulders;
3, waterfall
5, rocky overhang
6, hillock.


:Hidden by vegetation 
2, a briar patch
3, a curtain of moss
4, enormous tree roots
6, overgrown vines.


:Difficult to access 
2, up or down a cliff face
4, down a deep hole
5, in an underwater tunnel
6, through an illusory rock or wall.


:Layout, Most of the mine is
1, A sprawling maze of twisting tunnels.
2, A sprawling maze of narrow tunnels.
3, A series of tunnels connecting large natural caverns.
4, A wide open-pit quarry.
5, A series of tunnels connecting large open pits or sinkholes.
6, A sprawling maze of open trenches.


:Methods, Material excavated from the mine is
1, Floated on rafts down a stream or river.
2, Hauled out on pack mules.
3, Hauled out on mule-drawn carts.
4, Hauled out on sure-footed ponies.
5, Hauled out on ox-drawn carts.
6, Hauled out on the backs of uncommon beasts of burden  [Hauled out on the backs of uncommon beasts of burden]
7, Rolled out in single mine carts.
8, Rolled out in long trains of mine carts.


:Hauled out on the backs of uncommon beasts of burden 
1, bears
3, giant lizards
5, goats
6, undead horses.


:HazardsorObstacles, You find
1, A colony of poisonous mushrooms.
2, A patch of toxic mold.
3, A sudden cave in.
4, Several rocks tumble down a sloped wall.
5, The floor is very slippery.
6, You nearly step into a pit or chasm.
7, A heap of unstable explosives.
8, A sudden explosion in another part of the mine shakes the floor.
9, The floor is writhing with vermin  [The floor is writhing with vermin]
10, The tunnel or trench is steadily flooding.


:The floor is writhing with vermin 
2, beetles
3, centipedes
4, rats;
6, spiders.


:Denizens, If you dig deep, you'll find
1, Carrion crawler.
2, Cloaker.
3, Darkmantle.
4, Drider.
5, Fungi.
6, Gargoyle.
7, Ghosts.
8, Gricks.
9, Hook horror.
10, Mimics.
11, Myconids.
12, Ooze.
13, Otyugh.
14, Piercer.
15, Roper.
16, Rust monster.
17, Skeletons.
18, Stirges.
19, Umber hulk.
20, Wraiths.


:Ecology, The creature is
1, A predator or a hunter.
2, A food source for other denizens.
3, A recently-arrived squatter or invader.
4, A long-time resident.
5, A parasite or a scavenger.
6, A host or the dominant species.
7, Unusually abundant.
8, Living in deliberate isolation.
9, Living in unintentional isolation.
10, Severely out of place in this mine.


:Neighbors, The miners complain of trouble from a nearby colony of
1, Cyclops.
2, Duergar.
3, Dwarves.
4, Elves, dark.
5, Gnomes, deep.
6, Goblins.
7, Grimlocks.
8, Hobgoblins.
9, Kobolds.
10, Orcs.
11, Troglodytes.
12, Trolls.


:Distinguishing Landmark, You see
1, A trickle of water on the walls and floor
2, An underground lake of potable water.
3, A pool of stagnant water.
4, A rickety bridge over a chasm.
5, A narrow chasm with walls close enough to climb between.
6, A deep chasm with no bottom in sight.
7, A group of boulders arranged in a circle.
8, A damp wall covered in soft mold.
9, A recess in the wall, covered in slimy mold.
10, A large patch of soft fungus.
11, A cavern with a strong echo.
12, A claustrophobic tunnel with a low ceiling.
13, A forked path with tracks for mine carts.
14, An overturned mine cart.
15, An unlit lantern mounted to the wall.
16, A glowing lantern mounted to the wall.
17, A swirling vein of ore visible in the wall.
18, A wide vein of ore visible in the wall.
19, A partially excavated wall with plentiful ore.
20, A heap of excavated rock.


:Features, You notice
1, Some broken mining equipment.
2, Some old dry bones.
3, Evidence of a recent, brief encampment.
4, Evidence of an abandoned campsite.
5, An enormous spider web.
6, A wide slippery patch of mold on the floor.
7, The clatter of rocks falling.
8, Loose stones underfoot.
9, The clang of a pick breaking rock.
10, The distant sound of hammers at work.
11, A prospector's mark scratched on the wall.
12, A cracked wooden beam overhead.


:Reputation, The mine is believed to be
2, Full of riches.
3, A productive place to dig.
4, Becoming increasingly unprofitable.
6, Nearly dried up.


:Ownership, The mine is controlled by
1, A powerful, well-known merchant guild.
2, A wealthy noble house.
3, A partnership of a few prospectors.
4, A clan or collective of locals.
5, No one in particular; finders keepers.
