

:Start
1, monasteries: DISCIPLINE, STRENGTH, AND WISDOM...
_<br>
_Knowledge and Experience: Visitors to the monastery come seeking [[Knowledge and Experience Visitors to the monastery come seeking]]<br>
_Reputation: The monastery is known for its [[Reputation The monastery is known for its]]<br>
_Location: The monastery complex is located [[Location The monastery complex is located]]<br>
_Structure: The monastery complex is [[Structure The monastery complex is]]<br>
_This building/chamber is [[This buildingorchamber is]]<br>
_Many of the monastery's ceilings are [[Many of the monasterys ceilings are]]<br>
_Decor: The buildings/chambers are [[Decor The buildingsorchambers are]]<br>
_Walls: Many of the interior walls are [[Walls Many of the interior walls are]]<br>
_Features: You notice [[Features You notice]]<br>
_Encounters: You come upon [[Encounters You come upon]]<br>
_Secret Lore: The monastery guards the secret to [[Secret Lore The monastery guards the secret to]]<br>
_Lore Keepers: The secret is known to [[Lore Keepers The secret is known to]]<br>
_Job: At the monastery, the monk is [[Job At the monastery the monk is]]<br>
_Knowledge: The monk is an expert in [[Knowledge The monk is an expert in]]<br>
_Meditation: The monk has recently been contemplating [[Meditation The monk has recently been contemplating]]<br>
_Practice: The monk prefers to meditate [[Practice The monk prefers to meditate]]<br>
_The monk wears [[The monk wears]]<br>
_Martial Arts: The monk's martial arts style includes [[Martial Arts The monks martial arts style includes]]<br>
_Possession: The monk carries [[Possession The monk carries]]<br>
_Drink: The monk prefers to drink [[Drink The monk prefers to drink]]<br>
_Goal: The monk is looking for [[Goal The monk is looking for]]<br>


:Knowledge and Experience Visitors to the monastery come seeking
1, Ancient knowledge.
2, Mystic wisdom.
3, Spiritual guidance.
4, Prayers and healing.
5, Ales and other goods made on-site.
6, Refuge from war.
7, Shelter on a long journey.
8, The secret of true happiness.
9, Physical perfection.
10, The means to travel to another realm.
11, Training in a unique fighting style.
12, The tools and training to exact vengeance.


:Reputation The monastery is known for its
1, Compassionate healers.
2, Sacred music.
3, Ancient wisdom.
4, Dark prophecies.
5, Stunning architecture.
6, Unusual architecture.
7, A famous sculpture or painting.
8, Lengthy prayer services and vigils.
