

:Start
1, NPC<br>
_Eyes: The person has [[Eyes The person has]]<br>
_Ears: The person has [[Ears The person has]]<br>
_Mouth: The person has [[Mouth The person has]]<br>
_Nose: The person has [[Nose The person has]]<br>
_Chin or jaw: He/she has [[Chin or jaw Heorshe has]]<br>
_Hair: The person has [[Hair The person has]]<br>
_Other: His/her face has [[Other Hisorher face has]]<br>
_Height: The person is [[Height The person is]]<br>
_Calm Trait: When calm, the person is typically [[Calm Trait When calm the person is typically]]<br>
_Body: The person's body is [[Body The persons body is]]<br>
_Hands: The person has [[Hands The person has]]<br>
_Scar: The person has [[Scar The person has]]<br>
_Tattoo: The person has [[Tattoo The person has]]<br>
_Jewelry: The person wears [[Jewelry The person wears]]<br>
_Clothes: The person's [[Clothes The persons]]<br>
_Stress Trait: When stressed, the person often becomes [[Stress Trait When stressed the person often becomes]]<br>
_Mood: Now, the person is [[Mood Now the person is]]<br>
_The person is a [[The person is a]]<br>
_The person is prejudiced against [[The person is prejudiced against]]<br>
_The person [[The person]]<br>


:Eyes The person has
1, Sleepy eyes.
2, Shifty eyes.
3, Watery eyes.
4, Bright eyes.
5, Cold eyes.
6, Smiling eyes.
7, Close-set eyes.
8, Wild eyes.
9, Distant eyes.
10, A lazy eye.


:Ears The person has
1, Over-sized ears.
2, Long ear lobes.
3, Small ears.
4, Uneven ears.
5, Hairy ears.
6, Pointy ears.
7, Short ear lobes.
8, Ears that stick out.


:Mouth The person has
1, Full lips.
2, Buck-teeth.
3, Thin lips.
4, Rotting teeth.
5, Crooked teeth.
6, A broken or missing tooth.
7, Pursed lips.
8, Dry, cracked lips.
9, One or more false teeth.
10, A mouth that hangs open.


:Nose The person has
1, A crooked nose.
2, A bulbous nose.
3, A narrow nose.
4, A button nose.
5, A long nose.
6, A broad nose.
7, An angular nose.
8, A round nose.


:Chin or jaw Heorshe has
1, A pronounced chin.
2, A cleft chin.
3, A dimple on the chin.
4, A rounded chin.
5, A sharp jawline.
6, A square jaw.
7, A round jaw.
8, An underbite.


:Hair The person has
1, Thick hair.
2, Wispy hair.
3, Straight hair.
4, Wavy hair.
5, Curly hair.
6, Wiry hair.
7, Oily hair.
8, Lush hair.


:Other Hisorher face has
1, High cheekbones.
2, Tight, drawn cheeks.
3, Chubby cheeks.
4, An unpleasant pustule.
5, A large mole.
6, A beauty mark.
7, Freckles.
8, Terrible scarring.


:Height The person is
1, Unusually short.
2, Short in stature.
3, Average height.
4, Slightly above average height.
5, Well above average height.
6, Unusually tall.


:Calm Trait When calm the person is typically
3, Compassionate.
7, Cheerful.
10, Reserved.
13, Outspoken.
16, Uninterested.
19, Gruff.
22, Eager.
25, Deceitful.
28, Foolish.
31, Strict.
35, Agreeable.
38, Mischievous.
41, Angry.
44, Fearful.
47, Manipulative.
50, Devout.
54, Greedy.
57, Funny.
60, Dour.
63, Fun-loving.
66, Lazy.
69, Driven.
72, Boastful.
74, Artistic.
77, Assertive.
81, Carefree.
84, Cautious.
88, Confident.
91, Thoughtful.
94, Loyal.
97, Sophisticated.
100, Weak-Willed.


:Body The persons body is
1, Thin and delicate.
2, Of average build.
3, Well-muscled.
4, Slightly overweight.
5, Grotesquely obese.
6, Lean and lanky.
7, Lithe and lean.
8, Thin and wiry.
9, Sinewy and strong.
10, Flabby and weak.
11, Lumpy or bent.
12, Covered in hair.


:Hands The person has
1, Powerful hands.
2, Delicate hands.
3, Rough hands.
4, Soft hands.
5, A light touch.
6, A heavy touch.


:Scar The person has
2, A jagged scar.
5, A dark purple scar.
4, An angry red scar.
6, A long, thin scar.


:Tattoo The person has
1, A dagger tattoo.
2, An arrow tattoo.
3, An anchor tattoo.
4, A skull tattoo.
5, A pair of crossed bones tattoo.
6, A snake tattoo.
7, A scorpion tattoo.
8, A spider web tattoo.
9, A heart tattoo.
10, A ring of thorns tattoo.
11, A mermaid tattoo.
12, A dragon tattoo.


:Jewelry The person wears
1, An earring.
2, Two earrings.
3, A small chain about the neck.
4, A large chain about the neck.
5, A tight choker about the neck.
6, A brooch.
7, A ring.
8, Several rings.
9, A bracelet.
10, A nose ring.


:Clothes The persons
1, clothing is...
2, Crisp and new.
3, Fashionable and hip.
4, A bit old-fashioned.
5, Of the highest quality.
6, Faded, but in good condition.
7, Faded and patched.
8, Torn in places; missing buttons.


:Stress Trait When stressed the person often becomes
4, Withdrawn.
7, Murderous.
10, Obsessive.
13, Authoritarian.
16, Determined.
19, Brave.
22, Spiteful.
25, Belligerent.
28, Caustic.
32, Reckless.
35, Argumentative.
38, Gluttonous.
41, Overly protective.
45, Angry.
48, Cowardly.
51, Meticulous.
54, Sarcastic.
57, Stubborn.
60, Destructive.
63, Practical.
66, Pushy.
69, Fanatical.
72, Secretive.
75, Scornful.
78, Courageous.
82, Impractical.
85, Calculating.
88, Industrious.
91, Manipulative.
94, Destructive.
97, Compulsive.
100, Intolerant.


:Mood Now the person is
1, Agreeable.
2, Carefree.
3, Curious.
4, Eager.
5, Friendly.
6, Happy.
7, Hopeful.
8, Upbeat.
9, Indifferent.
10, Bored.
11, Focused.
12, Suspicious.
13, Tired.
14, Withdrawn.
15, Disagreeable.
16, Agitated.
17, Angry.
18, Despondent.
19, Gloomy.
20, Nervous


:The person is a
1, Quiet true believer.
2, Casual observer.
3, Critical student.
4, Outspoken cynic.
5, Open-minded seeker.
6, Broken heretic.
7, Cautious listener.
8, Fanatical true believer.


:The person is prejudiced against
1, Other genders.
2, An age group  [[An age group]]
3, A social class  [[A social class]]
4, Social deviants  [[Social deviants]]
5, A profession  [[A profession]]
6, A race  [[A race]]


:An age group 
2, children
4, teenagers;
6, elderly.


:A social class 
2, rulers;
4, powerful rich
6, destitute poor.


:Social deviants 
2, beggars
4, drunks;
6, junkies.


:A profession 
1, farmers;
2, artists
3, clergy
4, soldiers;
5, fishers
6, harlots
7, miners;
8, merchants
9, scholars;
10, herders
11, sailors;
12, mages.


:A race 
1, dwarves;
2, elves
3, gnomes
4, goblins;
5, halflings;
6, humans
7, orcs;
8, reptilians.


:The person
1, Fidgets.
2, Drinks too much.
3, Eats too much.
4, Swears often.
5, Has poor hygiene.
6, Can't resist flirting.
7, Can't stop staring.
8, Sweats profusely and easily.
9, Is a habitual liar.
10, Embellishes the truth.
11, Exaggerates details.
12, Has a short temper.
13, Is melodramatic.
14, Gossips.
15, Chews with an open mouth.
16, Often sniffs audibly.
17, Believes what you tell him/her.
18, Is skeptical of everything.
19, Paces.
20, Makes poor eye contact.

