

:Start
1, vampires: HUNGRY FOR BLOOD
_<br>
_Background: In life, the vampire was [[Background In life the vampire was]]<br>
_Alias: Often, the vampire poses as [[Alias Often the vampire poses as]]<br>
_Amusement: In addition to draining blood, the vampire is fond of [[Amusement In addition to draining blood the vampire is fond of]]<br>
_Goals: The vampire's goals include [[Goals The vampires goals include]]<br>
_Lair: The vampire's base of operations is [[Lair The vampires base of operations is]]<br>
_Nocturnal activity: The vampire prefers to hunt [[Nocturnal activity The vampire prefers to hunt]]<br>
_Victims: The vampire's favorite prey are [[Victims The vampires favorite prey are]]<br>
_Limits: He or she refuses to feed on [[Limits He or she refuses to feed on]]<br>
_Shapeshifting: The vampire can shapeshift to take the form of [[Shapeshifting The vampire can shapeshift to take the form of]]<br>
_Skills: Even among vampires, the vampire is quite good at [[Skills Even among vampires the vampire is quite good at]]<br>
_Chained to the grave: The vampire's gravedirt is from [[Chained to the grave The vampires gravedirt is from]]<br>
_Associates: The vampire's associates include [[Associates The vampires associates include]]<br>
_Personality: Even among vampires, the vampire is especially [[Personality Even among vampires the vampire is especially]]<br>
_Apparel: The vampire often wears [[Apparel The vampire often wears]]<br>
_Quirk: The vampire is unusually fond of or particular regarding [[Quirk The vampire is unusually fond of or particular regarding]]<br>
_Fears: The vampire is particularly afraid of or takes special care to avoid [[Fears The vampire is particularly afraid of or takes special care to avoid]]<br>


:Background In life the vampire was
1, An alchemist or pyromancer.
2, An assassin or poisonmaker.
3, A barkeep or barmaid.
4, A con artist or gambler.
5, A harlot or madame.
6, A hunter or woodsman.
7, A knight or sellsword.
8, A lord or lady.
9, A priest or monk.
10, A sailor or pirate.
11, A seer or mystic.
12, A thief or smuggler.


:Alias Often the vampire poses as
1, A powerful noble.
2, An eccentric scholar.
3, A mysterious foreigner.
4, A talented artist.
5, A polite shopkeeper.
6, A creepy peddler.
7, A femme fatale.
8, A charming rogue.
9, A friendly barkeep or barmaid.
10, A charismatic entertainer.
11, A religious fanatic.
12, A veteran soldier.


:Amusement In addition to draining blood the vampire is fond of
1, Shooting prey with an arrow or bolt from range.
2, Impaling prey.
3, Gutting or eviscerating prey.
4, Flaying prey.
5, Beheading prey.
6, Strangling prey.
7, Hanging prey.
8, Burying prey alive.
9, Drowning prey.
10, Throwing prey off a roof.
11, Severely beating prey.
12, Dismembering prey.


:Goals The vampires goals include
1, Procreating.
2, Corrupting and influencing the politics of the city or region.
3, Domination of the city or region's politics.
4, Revenge against a rival vampire.
5, Revenge against a living person, family, or organization.
6, Seeking hedonistic pleasure.
7, Uncovering ancient secrets of death and undeath.
8, Enslaving the living to create an easy source of food for vampires.


:Lair The vampires base of operations is
1, A beautiful manor house.
2, A run-down castle.
3, An ancient fortress.
4, A quaint house on a quiet street.
5, A tavern.
6, A brothel.
7, An unpleasant underground lair.
8, A crypt in a graveyard.
9, A crypt beneath a temple.
10, The vampire is a transient.


