
;Start
5,[[Tables.Weapons.HaftedWeapons.Quality]] [[LanceType]] lance made of [[Tables.Utility.Utility.WoodWeapon]]. [[LanceDecor]][[Weapon.MilitaryIssueChance]]
2,[[Tables.Weapons.HaftedWeapons.Quality]] [[LanceType]] lance made of [[Tables.Utility.Utility.WoodWeapon]] and tipped with [[Tables.Utility.Utility.MetalWeapon]]. [[LanceDecor]][[Weapon.MilitaryIssueChance]]

;StartNoDescription
1,[[LanceType]] lance

;LanceType
20,light
15,heavy
1,ceremonial
1,ornamental

;LanceDecor
6,
3,The lance has a[[StreamerQuality]] streamer of[[StreamerColor]] [[Tables.Utility.Utility.ClothFancy]].
3,The lance has been painted with spiraling [[Tables.Utility.Color.dark]] and [[Tables.Utility.Color.bright]].
1,The lance is painted solid [[Tables.Utility.Color.bright]].
1,The lance is painted solid [[Tables.Utility.Color.dark]].
1,The lance has stripes of [[Tables.Utility.Color.bright]] and [[Tables.Utility.Color.dark]].

;StreamerQuality
5,
1, heavy
1, long
1, ragged
1, short
1, torn

;StreamerColor
1,
1, [[Tables.Utility.Utility.DarkColors]]
1, [[Tables.Utility.Utility.DarkColors]] and [[Tables.Utility.Utility.BrightColors]]
1, [[Tables.Utility.Utility.DarkColors]] and [[Tables.Utility.Utility.LightColors]]
1, [[Tables.Utility.Utility.DullColors]]
1, [[Tables.Utility.Utility.DullColors]] and [[Tables.Utility.Utility.BrightColors]]
1, [[Tables.Utility.Utility.BrightColors]]
1, [[Tables.Utility.Utility.LightColors]]


