
;Start
1,{{ucfirst:a}} [[Swords.Quality]] [[XBowType]] made of [[Tables.Utility.WoodWeapon]], with the bow made of [[Tables.Utility.WoodBow]]. [[XBowStockDecor]] [[BoltQuiver]]<br>

;XBowType
5,hand crossbow
55,light crossbow
35,heavy crossbow
3,great crossbow
1,repeating crossbow
2,double crossbow

;XBowStockDecor
4,
1,The stock has a depiction of [[Tables.Utility.Symbols]].

;BoltQuiver
6,
2,Accompanying the crossbow is a quiver of [[Tables.Utility.LeatherHide]] with [[Tables.Utility.Fur]] fur trim. It contains [[AmmunitionThrown.Bolt]]
1,Accompanying the crossbow is a quiver of [[Tables.Utility.LeatherHide]]. It contains [[AmmunitionThrown.Bolt]]
1,Accompanying the crossbow is a quiver of [[Tables.Utility.Fur]] fur with [[Tables.Utility.LeatherHide]] trim. It contains [[AmmunitionThrown.Bolt]]
2,Accompanying the crossbow is a quiver of [[Tables.Utility.LeatherHide]] with [[Tables.Utility.MetalDecor]] trim. It contains [[AmmunitionThrown.Bolt]]



